"Airports";"Periods";"Aircraft movements/Cross-country flights (number)";"Aircraft movements/Local flights (number)";"Commercial air traffic/Flights/Arrivals/Total arrivals flights (number)";"Commercial air traffic/Flights/Arrivals/Scheduled (number)";"Commercial air traffic/Flights/Arrivals/Non-scheduled (number)";"Commercial air traffic/Flights/Departures/Total departures flights (number)";"Commercial air traffic/Flights/Departures/Scheduled (number)";"Commercial air traffic/Flights/Departures/Non-scheduled (number)";"Commercial air traffic/Passengers/Passenger arrivals/Total arrivals passengers (number)";"Commercial air traffic/Passengers/Passenger arrivals/Scheduled (number)";"Commercial air traffic/Passengers/Passenger arrivals/Non-scheduled (number)";"Commercial air traffic/Passengers/Passenger departures/Total departures passengers (number)";"Commercial air traffic/Passengers/Passenger departures/Scheduled (number)";"Commercial air traffic/Passengers/Passenger departures/Non-scheduled (number)";"Commercial air traffic/Passengers/Country of origin/destination/Total country of origin/destination (number)";"Commercial air traffic/Passengers/Country of origin/destination/Europe/Europe total (number)";"Commercial air traffic/Passengers/Country of origin/destination/Europe/EU countries (number)";"Commercial air traffic/Passengers/Country of origin/destination/Europe/Other Europe (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Total intercontinental passengers (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/North Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/West Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/Central Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/East Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/South Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/America/America (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/America/North America (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/America/Central America (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/America/South America (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Asia/Asia (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Asia/West Asia (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Asia/South-East Asia (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Asia/North-East Asia (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Oceania (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Other/unknown (number)";"Commercial air traffic/Passengers/Country of origin/destination/Unknown (number)"
"Amsterdam Airport Schiphol";"2011 September";"   38768";"     491";"   18792";"   17148";"    1644";"   18805";"   17161";"    1644";" 2361577";" 2128288";"  233289";" 2320165";" 2099100";"  221065";" 4681742";" 3257385";" 2681933";"  575452";" 1424357";"  226412";"   85445";"   41842";"    2759";"   66319";"   30047";"  707812";"  533424";"   97210";"   77178";"  490133";"  144481";"  156508";"  189144";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2011 October";"   39074";"     445";"   19040";"   17440";"    1600";"   19026";"   17430";"    1596";" 2326155";" 2110756";"  215399";" 2277527";" 2096199";"  181328";" 4603682";" 3183023";" 2570795";"  612228";" 1420659";"  235298";"   91068";"   44325";"    2615";"   65269";"   32021";"  687339";"  507032";"  105567";"   74740";"  498022";"  142275";"  165739";"  190008";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2011 November";"   33204";"     371";"   16163";"   15432";"     731";"   16161";"   15440";"     721";" 1806670";" 1732768";"   73902";" 1773511";" 1710496";"   63015";" 3580181";" 2399397";" 2029157";"  370240";" 1180784";"  214130";"   84946";"   39215";"    2314";"   54056";"   33599";"  539006";"  364080";"   96729";"   78197";"  427648";"  118906";"  153569";"  155173";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2011 December";"   32424";"     322";"   15796";"   15172";"     624";"   15762";"   15168";"     594";" 1725807";" 1676472";"   49335";" 1808195";" 1751751";"   56444";" 3534002";" 2303809";" 1960664";"  343145";" 1230193";"  216256";"   76534";"   41523";"    2657";"   58630";"   36912";"  568994";"  378635";"  103320";"   87039";"  444943";"  124553";"  171839";"  148551";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2012 January";"   31911";"     338";"   15555";"   14917";"     638";"   15579";"   14980";"     599";" 1747950";" 1685509";"   62441";" 1674812";" 1618355";"   56457";" 3422762";" 2195330";" 1850565";"  344765";" 1227432";"  217000";"   73473";"   39581";"    2845";"   65300";"   35801";"  552310";"  352218";"  109716";"   90376";"  458122";"  120275";"  182011";"  155836";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2012 February";"   30805";"     283";"   15035";"   14366";"     669";"   15034";"   14418";"     616";" 1619746";" 1560276";"   59470";" 1675463";" 1610766";"   64697";" 3295209";" 2177863";" 1843735";"  334128";" 1117346";"  207024";"   74514";"   37424";"    2764";"   60551";"   31771";"  493172";"  307976";"  102667";"   82529";"  417150";"  112158";"  163542";"  141450";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2012 March";"   34921";"     321";"   16923";"   16175";"     748";"   16948";"   16218";"     730";" 1973751";" 1903590";"   70161";" 1894342";" 1827395";"   66947";" 3868093";" 2589361";" 2183122";"  406239";" 1278732";"  220458";"   81567";"   37769";"    3215";"   61452";"   36455";"  582609";"  395584";"  104448";"   82577";"  475665";"  134027";"  170677";"  170961";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2012 April";"   36291";"     342";"   17682";"   16673";"    1009";"   17666";"   16719";"     947";" 2061795";" 1979679";"   82116";" 2127450";" 2009542";"  117908";" 4189245";" 2875204";" 2372473";"  502731";" 1314041";"  215358";"   86536";"   40650";"    3729";"   50516";"   33927";"  632793";"  448685";"  100639";"   83469";"  465890";"  132969";"  155130";"  177791";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2012 May";"   39221";"     312";"   19060";"   17530";"    1530";"   19058";"   17528";"    1530";" 2285340";" 2089351";"  195989";" 2258992";" 2054771";"  204221";" 4544332";" 3199268";" 2584756";"  614512";" 1345064";"  202397";"   82997";"   35327";"    3866";"   51783";"   28424";"  689656";"  507108";"   97480";"   85068";"  453011";"  121092";"  146795";"  185124";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2012 June";"   38460";"     383";"   18719";"   17134";"    1585";"   18730";"   17166";"    1564";" 2304960";" 2101919";"  203041";" 2307885";" 2089196";"  218689";" 4612845";" 3193777";" 2576910";"  616867";" 1419068";"  213782";"   84952";"   30777";"    5057";"   61755";"   31241";"  737922";"  560976";"   94950";"   81996";"  467364";"  121150";"  152134";"  194080";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2012 July";"   40898";"     323";"   20005";"   17773";"    2232";"   20007";"   17839";"    2168";" 2465269";" 2174027";"  291242";" 2756326";" 2394529";"  361797";" 5221595";" 3616378";" 2853546";"  762832";" 1605217";"  287292";"  133859";"   37105";"    5647";"   74892";"   35789";"  800062";"  595999";"  108800";"   95263";"  517863";"  138369";"  166394";"  213100";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2012 August";"   40602";"     311";"   19921";"   17715";"    2206";"   19928";"   17714";"    2214";" 2687277";" 2341651";"  345626";" 2450228";" 2144112";"  306116";" 5137505";" 3513351";" 2796249";"  717102";" 1624154";"  286117";"  129514";"   38228";"    5715";"   77006";"   35654";"  804095";"  602428";"  108512";"   93155";"  533942";"  150503";"  166909";"  216530";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2012 September";"   38523";"     281";"   18757";"   17096";"    1661";"   18731";"   17092";"    1639";" 2397080";" 2154734";"  242346";" 2363359";" 2131468";"  231891";" 4760439";" 3301087";" 2675309";"  625778";" 1459352";"  241363";"   97245";"   37054";"    5581";"   66401";"   35082";"  730943";"  543005";"   95888";"   92050";"  487046";"  124550";"  153352";"  209144";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2012 October";"   38645";"     303";"   18895";"   17362";"    1533";"   18887";"   17387";"    1500";" 2347644";" 2138973";"  208671";" 2296053";" 2126709";"  169344";" 4643697";" 3210326";" 2580540";"  629786";" 1433371";"  251167";"  104208";"   38407";"    4991";"   66171";"   37390";"  687633";"  495683";"  100804";"   91146";"  494571";"  138796";"  157513";"  198262";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2012 November";"   32956";"     278";"   16029";"   15259";"     770";"   16035";"   15306";"     729";" 1860056";" 1781156";"   78900";" 1832211";" 1764126";"   68085";" 3692267";" 2475265";" 2082343";"  392922";" 1217002";"  226298";"   88386";"   41335";"    4767";"   54535";"   37275";"  548682";"  362548";"   97882";"   88252";"  442022";"  117274";"  165100";"  159648";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2012 December";"   30891";"     291";"   15130";"   14406";"     724";"   15091";"   14438";"     653";" 1753514";" 1693697";"   59817";" 1834089";" 1763084";"   71005";" 3587603";" 2300056";" 1931403";"  368653";" 1287547";"  234551";"   82703";"   45963";"    5434";"   58559";"   41892";"  581768";"  382972";"  103431";"   95365";"  471228";"  130643";"  184843";"  155742";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2013 January";"   30705";"     299";"   14953";"   14313";"     640";"   14996";"   14386";"     610";" 1718718";" 1651749";"   66969";" 1667513";" 1607175";"   60338";" 3386231";" 2116044";" 1758731";"  357313";" 1270187";"  235073";"   77744";"   46922";"    5762";"   63850";"   40795";"  565379";"  354728";"  110044";"  100607";"  469735";"  121477";"  189528";"  158730";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2013 February";"   29469";"     268";"   14356";"   13638";"     718";"   14350";"   13688";"     662";" 1619700";" 1550147";"   69553";" 1646109";" 1572503";"   73606";" 3265809";" 2150859";" 1795354";"  355505";" 1114950";"  216462";"   79738";"   40104";"    4443";"   57199";"   34978";"  480480";"  296501";"   98334";"   85645";"  418008";"  111327";"  159885";"  146796";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2013 March";"   33873";"     366";"   16489";"   15661";"     828";"   16500";"   15721";"     779";" 2004006";" 1918320";"   85686";" 1964003";" 1877225";"   86778";" 3968009";" 2632427";" 2197317";"  435110";" 1335582";"  233748";"   90685";"   43447";"    5089";"   52702";"   41825";"  608364";"  401860";"  110320";"   96184";"  493470";"  137605";"  177813";"  178052";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2013 April";"   36889";"     334";"   17998";"   16953";"    1045";"   17992";"   17013";"     979";" 2124194";" 2033116";"   91078";" 2208525";" 2079118";"  129407";" 4332719";" 2967311";" 2436293";"  531018";" 1365408";"  218709";"   99591";"   38812";"    4531";"   42926";"   32849";"  664912";"  468365";"  103231";"   93316";"  481787";"  131468";"  154166";"  196153";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2013 May";"   40101";"     294";"   19494";"   17927";"    1567";"   19508";"   17917";"    1591";" 2457244";" 2238681";"  218563";" 2407091";" 2189021";"  218070";" 4864335";" 3431310";" 2757432";"  673878";" 1433025";"  215562";"   98226";"   31529";"    5265";"   49724";"   30818";"  740154";"  545695";"  100746";"   93713";"  477309";"  129313";"  150420";"  197576";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2013 June";"   38857";"     363";"   18912";"   17419";"    1493";"   18904";"   17439";"    1465";" 2420261";" 2223320";"  196941";" 2435316";" 2224674";"  210642";" 4855577";" 3336400";" 2711236";"  625164";" 1519177";"  227973";"   94232";"   32308";"    5705";"   63312";"   32416";"  790054";"  595426";"   98474";"   96154";"  501150";"  139081";"  153598";"  208471";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2013 July";"   41018";"     375";"   20056";"   17866";"    2190";"   20069";"   17906";"    2163";" 2519776";" 2228037";"  291739";" 2802792";" 2444214";"  358578";" 5322568";" 3674591";" 2926046";"  748545";" 1647977";"  267378";"  118631";"   36020";"    6698";"   70815";"   35214";"  835820";"  619607";"  106387";"  109826";"  544779";"  159067";"  164126";"  221586";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2013 August";"   40786";"     320";"   20000";"   17836";"    2164";"   20004";"   17794";"    2210";" 2785074";" 2432425";"  352649";" 2548400";" 2243005";"  305395";" 5333474";" 3631055";" 2888915";"  742140";" 1702419";"  283518";"  131299";"   38424";"    7685";"   70082";"   36028";"  854470";"  641256";"  106840";"  106374";"  564431";"  171505";"  168922";"  224004";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2013 September";"   39355";"     349";"   19148";"   17578";"    1570";"   19126";"   17560";"    1566";" 2462704";" 2228425";"  234279";" 2434470";" 2212445";"  222025";" 4897174";" 3409623";" 2773296";"  636327";" 1487551";"  211793";"   74244";"   36726";"    6629";"   60504";"   33690";"  764189";"  560859";"   97788";"  105542";"  511569";"  144898";"  153126";"  213545";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2013 October";"   39234";"     315";"   19153";"   17774";"    1379";"   19155";"   17764";"    1391";" 2389293";" 2194284";"  195009";" 2356403";" 2196685";"  159718";" 4745696";" 3304504";" 2651597";"  652907";" 1441192";"  210432";"   70871";"   41108";"    5896";"   58351";"   34206";"  711444";"  510374";"  101966";"   99104";"  519316";"  151822";"  159698";"  207796";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2013 November";"   33461";"     288";"   16315";"   15660";"     655";"   16307";"   15665";"     642";" 1900072";" 1826597";"   73475";" 1872553";" 1810008";"   62545";" 3772625";" 2552602";" 2137734";"  414868";" 1220023";"  196108";"   52824";"   45574";"    5933";"   53380";"   38397";"  562778";"  366656";"  104470";"   91652";"  461137";"  138856";"  159165";"  163116";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2013 December";"   32455";"     277";"   15919";"   15327";"     592";"   15861";"   15296";"     565";" 1856353";" 1799394";"   56959";" 1927129";" 1866806";"   60323";" 3783482";" 2464710";" 2066267";"  398443";" 1318772";"  219303";"   61825";"   50171";"    6437";"   57151";"   43719";"  612527";"  401980";"  109405";"  101142";"  486942";"  156569";"  174901";"  155472";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2014 January";"   32093";"     332";"   15670";"   15105";"     565";"   15722";"   15156";"     566";" 1827701";" 1768547";"   59154";" 1788851";" 1734524";"   54327";" 3616552";" 2301528";" 1924373";"  377155";" 1315024";"  219311";"   57404";"   52249";"    6614";"   60535";"   42509";"  587706";"  363828";"  119512";"  104366";"  508007";"  156163";"  182518";"  169326";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2014 February";"   30200";"     279";"   14721";"   14093";"     628";"   14729";"   14096";"     633";" 1696356";" 1635267";"   61089";" 1739236";" 1673515";"   65721";" 3435592";" 2289187";" 1917733";"  371454";" 1146405";"  202788";"   59355";"   45028";"    5461";"   55842";"   37102";"  492916";"  302449";"  102405";"   88062";"  450701";"  143655";"  155965";"  151081";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2014 March";"   35021";"     332";"   17024";"   16331";"     693";"   17009";"   16330";"     679";" 2066733";" 1986913";"   79820";" 2009739";" 1934641";"   75098";" 4076472";" 2744289";" 2307481";"  436808";" 1332183";"  221023";"   71702";"   48868";"    5782";"   53691";"   40980";"  602415";"  392758";"  110085";"   99572";"  508745";"  164360";"  163313";"  181072";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2014 April";"   37505";"     347";"   18312";"   17231";"    1081";"   18318";"   17272";"    1046";" 2226261";" 2123666";"  102595";" 2334381";" 2188600";"  145781";" 4560642";" 3168885";" 2616545";"  552340";" 1391757";"  215390";"   79454";"   43600";"    6256";"   49712";"   36368";"  662304";"  455864";"  104163";"  102277";"  514063";"  167717";"  154168";"  192178";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2014 May";"   40531";"     311";"   19738";"   18218";"    1520";"   19755";"   18206";"    1549";" 2516085";" 2305878";"  210207";" 2471866";" 2253705";"  218161";" 4987951";" 3537385";" 2878680";"  658705";" 1450566";"  203071";"   73856";"   34555";"    7234";"   51588";"   35838";"  749101";"  541965";"  102596";"  104540";"  498394";"  146253";"  154397";"  197744";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2014 June";"   39885";"     367";"   19401";"   17998";"    1403";"   19388";"   17988";"    1400";" 2539668";" 2336882";"  202786";" 2492969";" 2293328";"  199641";" 5032637";" 3539691";" 2908600";"  631091";" 1492946";"  204434";"   70081";"   30000";"    7263";"   61288";"   35802";"  787091";"  578705";"  101476";"  106910";"  501421";"  146203";"  153651";"  201567";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2014 July";"   42105";"     321";"   20607";"   18538";"    2069";"   20620";"   18552";"    2068";" 2558772";" 2293959";"  264813";" 2896902";" 2554302";"  342600";" 5455674";" 3853130";" 3112911";"  740219";" 1602544";"  243902";"   96689";"   31925";"    8254";"   67984";"   39050";"  807744";"  585785";"  108410";"  113549";"  550898";"  165357";"  164677";"  220864";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2014 August";"   42259";"     265";"   20715";"   18536";"    2179";"   20712";"   18510";"    2202";" 2934411";" 2569026";"  365385";" 2684025";" 2366386";"  317639";" 5618436";" 3902345";" 3136146";"  766199";" 1716091";"  280881";"  127473";"   33220";"    8369";"   72019";"   39800";"  844540";"  617576";"  112584";"  114380";"  590670";"  190317";"  169062";"  231291";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2014 September";"   40680";"     273";"   19849";"   18309";"    1540";"   19836";"   18289";"    1547";" 2600130";" 2376826";"  223304";" 2585375";" 2374315";"  211060";" 5185505";" 3650216";" 3016558";"  633658";" 1535289";"  221658";"   82632";"   31939";"    7367";"   62566";"   37154";"  795183";"  578497";"  104849";"  111837";"  518448";"  152935";"  147984";"  217529";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2014 October";"   40786";"     315";"   19878";"   18541";"    1337";"   19878";"   18508";"    1370";" 2535869";" 2338600";"  197269";" 2487699";" 2327259";"  160440";" 5023568";" 3546449";" 2893559";"  652890";" 1477119";"  220687";"   78875";"   36582";"    6163";"   62212";"   36855";"  739098";"  526499";"  106637";"  105962";"  517334";"  162128";"  155667";"  199539";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2014 November";"   34397";"     265";"   16787";"   16172";"     615";"   16767";"   16162";"     605";" 1995290";" 1925959";"   69331";" 1977553";" 1920429";"   57124";" 3972843";" 2719549";" 2298319";"  421230";" 1253294";"  199762";"   62736";"   40708";"    6004";"   55356";"   34958";"  585079";"  384072";"  107998";"   93009";"  468453";"  142874";"  157122";"  168457";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2014 December";"   33545";"     266";"   16452";"   15884";"     568";"   16407";"   15809";"     598";" 1956860";" 1906710";"   50150";" 2017802";" 1961227";"   56575";" 3974662";" 2650810";" 2238065";"  412745";" 1323852";"  217387";"   65416";"   44941";"    7213";"   62176";"   37641";"  624974";"  407761";"  115971";"  101242";"  481491";"  153537";"  168662";"  159292";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2015 January";"   32746";"     283";"   15985";"   15414";"     571";"   16047";"   15463";"     584";" 1874235";" 1818301";"   55934";" 1845206";" 1793549";"   51657";" 3719441";" 2407878";" 1993858";"  414020";" 1311563";"  215254";"   62306";"   44842";"    7250";"   65620";"   35236";"  602564";"  373946";"  121244";"  107374";"  493745";"  149103";"  176454";"  168188";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2015 February";"   31365";"     266";"   15298";"   14743";"     555";"   15309";"   14714";"     595";" 1782456";" 1725752";"   56704";" 1820188";" 1761364";"   58824";" 3602644";" 2458211";" 2046556";"  411655";" 1144433";"  193967";"   60059";"   35356";"    5821";"   60433";"   32298";"  506992";"  308215";"  106749";"   92028";"  443474";"  134920";"  151836";"  156718";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2015 March";"   35498";"     255";"   17310";"   16702";"     608";"   17289";"   16683";"     606";" 2130477";" 2067363";"   63114";" 2063582";" 2007141";"   56441";" 4194059";" 2870299";" 2399081";"  471218";" 1323760";"  210779";"   65604";"   43624";"    6501";"   58290";"   36760";"  622212";"  402484";"  115104";"  104624";"  490769";"  148450";"  157953";"  184366";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2015 April";"   38460";"     312";"   18797";"   17910";"     887";"   18805";"   17914";"     891";" 2333141";" 2257208";"   75933";" 2436853";" 2321960";"  114893";" 4769994";" 3365931";" 2798257";"  567674";" 1404063";"  209419";"   78088";"   43721";"    6054";"   51431";"   30125";"  697454";"  485299";"  105630";"  106525";"  497190";"  159174";"  140795";"  197221";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2015 May";"   42132";"     281";"   20535";"   19050";"    1485";"   20537";"   18996";"    1541";" 2707937";" 2497151";"  210786";" 2672651";" 2450219";"  222432";" 5380588";" 3880734";" 3156850";"  723884";" 1499854";"  204011";"   76024";"   38026";"    7220";"   53473";"   29268";"  801872";"  579116";"  108063";"  114693";"  493971";"  155701";"  141172";"  197098";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2015 June";"   41273";"     271";"   20035";"   18727";"    1308";"   20031";"   18692";"    1339";" 2660014";" 2475491";"  184523";" 2661286";" 2473528";"  187758";" 5321300";" 3781882";" 3109914";"  671968";" 1539418";"  200610";"   61512";"   35945";"    7127";"   66715";"   29311";"  831330";"  608987";"  106304";"  116039";"  507478";"  157569";"  138453";"  211456";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2015 July";"   43503";"     282";"   21239";"   19202";"    2037";"   21255";"   19258";"    1997";" 2790465";" 2524382";"  266083";" 3123963";" 2786674";"  337289";" 5914428";" 4197398";" 3372613";"  824785";" 1717030";"  247180";"   94230";"   37527";"    8057";"   76096";"   31270";"  872530";"  626486";"  121865";"  124179";"  597320";"  193608";"  151270";"  252442";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2015 August";"   43212";"     343";"   21176";"   19133";"    2043";"   21163";"   19083";"    2080";" 3107242";" 2768224";"  339018";" 2829996";" 2546476";"  283520";" 5937238";" 4150650";" 3326400";"  824250";" 1786588";"  266886";"  106511";"   40731";"    8793";"   77665";"   33186";"  893391";"  648241";"  121228";"  123922";"  626311";"  210165";"  158591";"  257555";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2015 September";"   41616";"     251";"   20286";"   18947";"    1339";"   20272";"   18916";"    1356";" 2737082";" 2549688";"  187394";" 2729157";" 2551978";"  177179";" 5466239";" 3868276";" 3179873";"  688403";" 1597963";"  216632";"   74884";"   38698";"    7480";"   65143";"   30427";"  836065";"  603797";"  110657";"  121611";"  545266";"  170257";"  143685";"  231324";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2015 October";"   41305";"     274";"   20108";"   18981";"    1127";"   20133";"   18963";"    1170";" 2678899";" 2519305";"  159594";" 2647473";" 2512034";"  135439";" 5326372";" 3768179";" 3091581";"  676598";" 1558193";"  217793";"   70668";"   45285";"    6586";"   62454";"   32800";"  796260";"  566462";"  113169";"  116629";"  544140";"  181221";"  148016";"  214903";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2015 November";"   35487";"     258";"   17243";"   16762";"     481";"   17211";"   16747";"     464";" 2169687";" 2123884";"   45803";" 2155708";" 2119035";"   36673";" 4325395";" 3016712";" 2544606";"  472106";" 1308683";"  203598";"   56669";"   49919";"    6224";"   53977";"   36809";"  619611";"  400208";"  113575";"  105828";"  485474";"  171160";"  146868";"  167446";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2015 December";"   35520";"     315";"   17313";"   16895";"     418";"   17296";"   16850";"     446";" 2116536";" 2082771";"   33765";" 2171057";" 2134209";"   36848";" 4287593";" 2916811";" 2447820";"  468991";" 1370782";"  212138";"   54614";"   52493";"    7990";"   58347";"   38694";"  656486";"  418629";"  121675";"  116182";"  502158";"  185041";"  161434";"  155683";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2016 January";"   34003";"     352";"   16567";"   16176";"     391";"   16584";"   16197";"     387";" 2067977";" 2033010";"   34967";" 2040843";" 2009059";"   31784";" 4108820";" 2745595";" 2297387";"  448208";" 1363225";"  211744";"   50114";"   55187";"    7668";"   60214";"   38561";"  634604";"  384878";"  126959";"  122767";"  516877";"  177586";"  163095";"  176196";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2016 February";"   33832";"     385";"   16478";"   16082";"     396";"   16481";"   16074";"     407";" 2024205";" 1990387";"   33818";" 2071200";" 2037525";"   33675";" 4095405";" 2880353";" 2423626";"  456727";" 1215052";"  194933";"   47166";"   49903";"    7105";"   54956";"   35803";"  550982";"  330153";"  115781";"  105048";"  469137";"  168834";"  137090";"  163213";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2016 March";"   37962";"     475";"   18447";"   18009";"     438";"   18456";"   18002";"     454";" 2397134";" 2360183";"   36951";" 2348735";" 2311190";"   37545";" 4745869";" 3326928";" 2803110";"  523818";" 1418941";"  214019";"   57912";"   52728";"    7147";"   58481";"   37751";"  679550";"  444948";"  122567";"  112035";"  525372";"  197696";"  149813";"  177863";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2016 April";"   40914";"     443";"   19885";"   19194";"     691";"   19895";"   19207";"     688";" 2545683";" 2489948";"   55735";" 2697790";" 2610588";"   87202";" 5243473";" 3736412";" 3137158";"  599254";" 1507061";"  195376";"   56559";"   49746";"    6036";"   49614";"   33421";"  765587";"  537697";"  117236";"  110654";"  546098";"  196947";"  154080";"  195071";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2016 May";"   44671";"     568";"   21719";"   20659";"    1060";"   21700";"   20603";"    1097";" 2913429";" 2766387";"  147042";" 2818577";" 2668713";"  149864";" 5732006";" 4195512";" 3513728";"  681784";" 1536494";"  190193";"   56563";"   39970";"    7901";"   53260";"   32499";"  820679";"  593176";"  118044";"  109459";"  525622";"  186586";"  151323";"  187713";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2016 June";"   43613";"     520";"   21208";"   20283";"     925";"   21210";"   20247";"     963";" 2872561";" 2748615";"  123946";" 2864278";" 2736268";"  128010";" 5736839";" 4189124";" 3535693";"  653431";" 1547715";"  177684";"   40988";"   39780";"    7629";"   57831";"   31456";"  831150";"  603626";"  116614";"  110910";"  538881";"  174390";"  154331";"  210160";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2016 July";"   46406";"     510";"   22620";"   21283";"    1337";"   22640";"   21347";"    1293";" 2995564";" 2825423";"  170141";" 3375244";" 3166554";"  208690";" 6370808";" 4578516";" 3808166";"  770350";" 1792292";"  240360";"   85936";"   44824";"    9404";"   64834";"   35362";"  903224";"  632783";"  141475";"  128966";"  648708";"  225401";"  177159";"  246148";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2016 August";"   46592";"     475";"   22852";"   21516";"    1336";"   22851";"   21422";"    1429";" 3347204";" 3121792";"  225412";" 3054922";" 2856189";"  198733";" 6402126";" 4572032";" 3779001";"  793031";" 1830094";"  257152";"   96563";"   45751";"   10404";"   67367";"   37067";"  908028";"  642188";"  138256";"  127584";"  664914";"  235578";"  178945";"  250391";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2016 September";"   44323";"     541";"   21589";"   20621";"     968";"   21597";"   20570";"    1027";" 2943433";" 2800060";"  143373";" 2923054";" 2789090";"  133964";" 5866487";" 4217956";" 3562720";"  655236";" 1648531";"  213970";"   70143";"   40054";"    8628";"   59376";"   35769";"  848398";"  602732";"  126187";"  119479";"  586163";"  199349";"  164839";"  221975";"       0";"       0";"       0"
