year,source_country_code,target_country_code,net_flow_twh
2017,BEL,LUX,-0.02
2017,BEL,NLD,-8.07
2017,BGR,GRC,2.02
2017,BGR,MKD,2.2
2017,BGR,ROU,-3.11
2017,BGR,SRB,2.09
2017,BGR,TUR,1.94
2017,BIH,HRV,1.27
2017,BIH,MNE,1.48
2017,BIH,SRB,-0.95
2017,BLR,LTU,0.87
2017,BLR,UKR,0.03
2017,CHE,AUT,-6.5
2017,CHE,DEU,-17.72
2017,CHE,FRA,-2.39
2017,CHE,ITA,20.33
2017,CZE,AUT,10.94
2017,CZE,DEU,-3.53
2017,CZE,POL,-5.34
2017,CZE,SVK,11.13
2017,DEU,AUT,15.31
2017,DEU,CHE,17.72
2017,DEU,CZE,3.53
2017,DEU,DNK,-1.14
2017,DEU,FRA,-4
2017,DEU,LUX,2.17
2017,DEU,NLD,13.77
2017,DEU,POL,7.34
2017,DEU,SWE,-1.88
2017,DNK,DEU,1.14
2017,DNK,NOR,-2.91
2017,DNK,SWE,-2.89
2017,EST,FIN,-0.81
2017,EST,LVA,2.22
2017,EST,RUS,1.3
2017,FIN,EST,0.81
2017,FIN,NOR,-0.23
2017,FIN,RUS,-5.78
2017,FIN,SWE,-14.87
2017,FRA,BEL,-1.65
2017,FRA,CHE,2.39
2017,FRA,DEU,4
2017,FRA,GBR,7.96
2017,FRA,ITA,12.64
2017,GBR,FRA,-7.96
2017,GBR,IRL,-0.82
2017,GBR,NLD,-7.03
2017,GRC,ALB,1.62
2017,GRC,BGR,-2.02
2017,GRC,ITA,-1.29
2017,GRC,MKD,-1.25
2017,GRC,TUR,-3.2
2017,HRV,BIH,-1.27
2017,HRV,HUN,-4.85
2017,HRV,SRB,-0.72
2017,HRV,SVN,-0.52
2017,HUN,AUT,-4.98
2017,HUN,HRV,4.85
2017,HUN,ROU,0.56
2017,HUN,SRB,0.66
2017,HUN,SVK,-9.5
2017,HUN,UKR,-4.58
2017,IRL,GBR,0.82
2017,ITA,AUT,-1.22
2017,ITA,CHE,-20.33
2017,ITA,FRA,-12.64
2017,ITA,GRC,1.29
2017,ITA,MLT,0.86
2017,ITA,SVN,-5.73
2017,LTU,BLR,-0.87
2017,LTU,LVA,-3.2
2017,LTU,POL,1.05
2017,LTU,RUS,-2.66
2017,LTU,SWE,-3.08
2017,LUX,BEL,0.02
2017,LUX,DEU,-2.17
2017,LVA,EST,-2.22
2017,LVA,LTU,3.2
2017,LVA,RUS,-0.92
2017,MDA,UKR,-0.18
2017,MKD,BGR,-2.2
2017,MKD,GRC,1.25
2017,MKD,SRB,-0.83
2017,MLT,ITA,-0.86
2017,MNE,ALB,1.21
2017,MNE,BIH,-1.48
2017,MNE,SRB,-0.84
2017,NLD,BEL,8.07
2017,NLD,DEU,-13.77
2017,NLD,GBR,7.03
2017,NLD,NOR,-4.88
2017,NOR,DNK,2.91
2017,NOR,FIN,0.23
2017,NOR,NLD,4.88
2017,NOR,SWE,6.55
2017,POL,CZE,5.34
2017,POL,DEU,-7.34
2017,POL,LTU,-1.05
2017,POL,SVK,4.37
2017,POL,SWE,-2.96
2017,POL,UKR,-0.87
2017,ROU,BGR,3.11
2017,ROU,HUN,-0.56
2017,ROU,SRB,1.97
2017,ROU,UKR,-0.83
2017,RUS,EST,-1.3
2017,RUS,FIN,5.78
2017,RUS,LTU,2.66
2017,RUS,LVA,0.92
2017,RUS,UKR,-0.12
2017,SRB,BGR,-2.09
2017,SRB,BIH,0.95
2017,SRB,HRV,0.72
2017,SRB,HUN,-0.66
2017,SRB,MKD,0.83
2017,SRB,MNE,0.84
2017,SRB,ROU,-1.97
2017,SVK,CZE,-11.13
2017,SVK,HUN,9.5
2017,SVK,POL,-4.37
2017,SVK,UKR,3.02
2017,SVN,AUT,-5.83
2017,SVN,HRV,0.52
2017,SVN,ITA,5.73
2017,SWE,DEU,1.88
2017,SWE,DNK,2.89
2017,SWE,FIN,14.87
2017,SWE,LTU,3.08
2017,SWE,NOR,-6.55
2017,SWE,POL,2.96
2017,TUR,BGR,-1.94
2017,TUR,GRC,3.2
2017,UKR,BLR,-0.03
2017,UKR,HUN,4.58
2017,UKR,MDA,0.18
2017,UKR,POL,0.87
2017,UKR,ROU,0.83
2017,UKR,RUS,0.12
2017,UKR,SVK,-3.02
2018,ALB,GRC,0.15
2018,ALB,MNE,0.05
2018,AND,ESP,-0.2
2018,AUT,CHE,4.18
2018,AUT,CZE,-10.72
2018,AUT,DEU,-12.01
2018,AUT,HUN,3.19
2018,AUT,ITA,1.4
2018,AUT,SVN,3.64
2018,BEL,FRA,-8.6
2018,BEL,GBR,0
2018,BEL,LUX,0.07
2018,BEL,NLD,-9.01
2018,BGR,GRC,2.11
2018,BGR,MKD,2.2
2018,BGR,ROU,-0.87
2018,BGR,SRB,2.25
2018,BGR,TUR,1.86
2018,BIH,HRV,4.94
2018,BIH,MNE,0.12
2018,BIH,SRB,-0.5
2018,BLR,LTU,1.41
2018,BLR,UKR,0.08
2018,CHE,AUT,-4.18
2018,CHE,DEU,-13.11
2018,CHE,FRA,-4.98
